item_id,user_id,rating
2804,655,4.5
5957,655,3.0
1213,655,4.5
134130,655,4.0
5065,655,3.0
1198,655,5.0
139385,655,4.0
6711,655,4.5
83349,655,3.0
62,655,4.0
5673,655,3.5
111113,655,3.0
116797,655,4.0
741,655,5.0
92535,655,4.5
37733,655,4.0
8958,655,3.0
4701,655,3.0
3210,655,4.0
802,655,4.0
527,655,4.0
107348,655,3.0
1196,655,4.5
2706,655,4.5
7451,655,4.0
1580,655,5.0
1203,655,5.0
3556,655,4.0
6188,655,3.5
91529,655,4.0
4718,655,3.5
4776,655,3.0
80463,655,4.5
70286,655,4.5
106100,655,4.0
30707,655,4.0
44191,655,4.0
148626,655,4.0
5902,655,4.0
6377,655,3.5
1246,655,4.0
1240,655,4.5
32,655,4.5
45730,655,3.0
97752,655,4.0
3994,655,4.0
1968,655,4.5
96829,655,4.0
104374,655,4.0
5449,655,3.0
2761,655,3.5
4370,655,4.0
2028,655,4.5
4247,655,3.0
4344,655,3.0
6957,655,5.0
122904,655,4.5
81562,655,3.5
5574,655,3.5
81932,655,4.5
94959,655,4.0
1258,655,4.0
47629,655,4.0
6016,655,3.5
108981,655,3.0
2763,655,4.0
3362,655,3.0
110730,655,4.0
47099,655,3.5
3949,655,4.0
67087,655,4.0
2795,655,4.0
260,655,4.5
648,655,4.5
2797,655,4.0
2012,655,4.0
6333,655,3.0
96079,655,3.5
253,655,4.0
70,655,4.0
110,655,4.0
541,655,5.0
104,655,4.0
58559,655,4.5
74458,655,4.0
6482,655,2.0
318,655,5.0
96737,655,3.5
1884,655,4.0
96655,655,4.0
98154,655,3.5
593,655,4.5
44828,655,3.5
3578,655,4.0
1307,655,4.5
37729,655,3.5
8665,655,3.0
587,655,3.0
7293,655,3.0
50,655,4.0
5064,655,4.0
105504,655,3.5
8950,655,4.0
134853,655,4.0
58998,655,4.0
4728,655,4.0
597,655,4.0
3114,655,4.5
215,655,4.0
100714,655,4.5
1080,655,4.0
103249,655,3.5
30825,655,4.0
93840,655,4.0
2011,655,4.0
8969,655,3.0
45186,655,3.5
30822,655,3.0
7173,655,3.5
142488,655,4.0
1370,655,4.0
165,655,4.0
60684,655,4.0
1270,655,5.0
4226,655,5.0
293,655,4.5
49272,655,4.0
8972,655,3.0
104944,655,4.0
115617,655,4.0
97923,655,4.0
104069,655,4.5
79132,655,5.0
3404,655,4.5
2420,655,5.0
3052,655,4.0
3421,655,4.0
2791,655,4.5
2948,655,4.0
2291,655,4.5
106782,655,4.5
736,655,3.0
2355,655,3.0
1274,655,4.0
380,655,4.0
41285,655,4.0
364,655,4.5
31658,655,4.0
1201,655,5.0
1356,655,4.5
1909,655,4.0
114074,655,3.0
45728,655,4.0
5903,655,2.5
7373,655,3.0
1120,655,4.0
5690,655,3.5
724,655,3.5
2019,655,5.0
8638,655,4.0
5971,655,3.5
509,655,4.0
48780,655,4.5
115713,655,5.0
480,655,4.5
5528,655,3.5
6541,655,3.0
105,655,4.0
1097,655,4.0
69757,655,3.5
69122,655,4.0
63082,655,3.0
4223,655,3.5
113573,655,3.0
1682,655,4.0
3408,655,4.0
2997,655,4.5
84954,655,3.5
1291,655,4.5
4545,655,4.0
112183,655,4.5
55820,655,4.0
48774,655,3.0
3360,2448,4.0
5349,2448,4.0
3418,2448,4.0
3527,2448,4.5
105,2448,3.0
1375,2448,3.5
5481,2448,4.5
4041,2448,5.0
3253,2448,4.5
2840,2448,3.5
2395,2448,4.0
3740,2448,5.0
50,3426,3.5
79293,3426,3.0
95441,3426,3.5
45720,3426,3.0
45672,3426,3.0
109374,3426,4.0
7153,3426,4.0
83613,3426,2.5
116797,3426,4.0
47099,3426,3.5
93766,3426,3.5
130490,3426,3.0
42734,3426,3.0
4720,3426,3.0
63992,3426,2.0
37741,3426,3.5
73321,3426,4.0
90746,3426,3.0
115210,3426,3.5
44022,3426,3.0
2011,3426,3.5
103249,3426,3.5
111759,3426,3.5
91630,3426,3.0
7373,3426,3.0
63113,3426,3.0
102716,3426,3.0
99910,3426,2.0
8907,3426,3.0
96610,3426,3.5
31685,3426,3.0
5481,3426,2.5
3578,3426,3.5
85056,3426,2.0
4718,3426,3.0
133195,3426,3.5
1196,3426,4.0
58559,3426,4.0
52722,3426,3.0
33004,3426,3.5
68791,3426,3.0
134853,3426,3.5
86644,3426,2.5
68954,3426,4.0
6539,3426,3.5
51662,3426,3.5
393,3426,1.5
6764,3426,3.5
4896,3426,4.0
63859,3426,3.0
31696,3426,3.5
80615,3426,3.5
86880,3426,3.0
109673,3426,2.0
8865,3426,3.0
53972,3426,2.5
88125,3426,4.0
6537,3426,3.0
68157,3426,3.5
79132,3426,3.5
53121,3426,3.0
111364,3426,3.0
114795,3426,3.5
7451,3426,2.5
74530,3426,3.0
30793,3426,3.5
34048,3426,3.0
