,item_id,user_id,rating
41840,4226,655,5.0
41841,4246,655,4.0
41842,4247,655,3.0
41843,4299,655,3.0
41844,4344,655,3.0
41845,4370,655,4.0
41846,4545,655,4.0
41847,4571,655,4.0
41848,4701,655,3.0
41849,4718,655,3.5
41850,4720,655,4.0
41851,4728,655,4.0
41852,4776,655,3.0
41853,4816,655,3.5
41854,4878,655,4.5
41855,4973,655,4.0
41856,4975,655,3.5
41857,4995,655,4.0
41858,5064,655,4.0
41859,5065,655,3.0
41860,5110,655,3.5
41861,5363,655,3.0
41862,5377,655,4.0
41863,5449,655,3.0
41864,5528,655,3.5
41865,5574,655,3.5
41866,5617,655,3.5
41867,5673,655,3.5
41868,5690,655,3.5
41869,5816,655,3.0
41870,5902,655,4.0
41871,5903,655,2.5
41872,5956,655,2.5
41873,5957,655,3.0
41874,5971,655,3.5
41875,5989,655,4.0
41876,5995,655,3.5
41877,6016,655,3.5
41878,6155,655,2.5
41879,6188,655,3.5
41880,6294,655,3.0
41881,6333,655,3.0
41882,6377,655,3.5
41883,6482,655,2.0
41884,6541,655,3.0
41885,6586,655,3.0
41886,6711,655,4.5
41887,6754,655,3.5
41888,6874,655,4.5
41889,6934,655,2.0
41890,6957,655,5.0
41891,7143,655,4.0
41892,7153,655,4.0
41893,7173,655,3.5
41894,7293,655,3.0
41895,7317,655,3.5
41896,7325,655,3.0
41897,7361,655,4.5
41898,7373,655,3.0
41899,7451,655,4.0
41900,8464,655,3.0
41901,8529,655,3.5
41902,8638,655,4.0
41903,8665,655,3.0
41904,8914,655,4.5
41905,8950,655,4.0
41906,8958,655,3.0
41907,8969,655,3.0
41908,8972,655,3.0
41909,8981,655,3.5
41910,27660,655,4.0
41911,27773,655,3.5
41912,30707,655,4.0
41913,30822,655,3.0
41914,30825,655,4.0
41915,31658,655,4.0
41916,31685,655,3.0
41917,31696,655,3.5
41918,35836,655,4.0
41919,37729,655,3.5
41920,37733,655,4.0
41921,39183,655,3.0
41922,41285,655,4.0
41923,42011,655,3.0
41924,43928,655,2.0
41925,44004,655,3.0
41926,44191,655,4.0
41927,44761,655,4.0
41928,44828,655,3.5
41929,45186,655,3.5
41930,45672,655,3.5
41931,45720,655,3.0
41932,45728,655,4.0
41933,45730,655,3.0
41934,46530,655,3.5
41935,47099,655,3.5
41936,47629,655,4.0
41937,47997,655,4.5
41938,48304,655,4.0
41939,48516,655,4.5
41940,48774,655,3.0
41941,48780,655,4.5
41942,49272,655,4.0
41943,51255,655,3.5
41944,51540,655,4.0
41945,55820,655,4.0
41946,58559,655,4.5
41947,58998,655,4.0
41948,60069,655,4.0
41949,60684,655,4.0
41950,61240,655,4.5
41951,63082,655,3.0
41952,67087,655,4.0
41953,68237,655,4.5
41954,68954,655,4.0
41955,69122,655,4.0
41956,69757,655,3.5
41957,70286,655,4.5
41958,74458,655,4.0
41959,79132,655,5.0
41960,80463,655,4.5
41961,81562,655,3.5
41962,81932,655,4.5
41963,83349,655,3.0
41964,84954,655,3.5
41965,86880,655,3.0
41966,86898,655,4.0
41967,88163,655,3.5
41968,89759,655,3.5
41969,90405,655,3.5
41970,91529,655,4.0
41971,92535,655,4.5
41972,93840,655,4.0
41973,94959,655,4.0
41974,95088,655,4.0
41975,95167,655,3.0
41976,95441,655,3.5
41977,96079,655,3.5
41978,96610,655,4.0
41979,96655,655,4.0
41980,96737,655,3.5
41981,96829,655,4.0
41982,97304,655,3.5
41983,97752,655,4.0
41984,97923,655,4.0
41985,98154,655,3.5
41986,100714,655,4.5
41987,101864,655,3.5
41988,102903,655,3.5
41989,103249,655,3.5
41990,103772,655,3.0
41991,104069,655,4.5
41992,104374,655,4.0
41993,104841,655,4.0
41994,104944,655,4.0
41995,105504,655,3.5
41996,105844,655,4.0
41997,106100,655,4.0
41998,106782,655,4.5
41999,106916,655,3.5
42000,107348,655,3.0
42001,108727,655,3.0
42002,108981,655,3.0
42003,109487,655,5.0
42004,110730,655,4.0
42005,111113,655,3.0
42006,111364,655,3.0
42007,112183,655,4.5
42008,112868,655,4.0
42009,113573,655,3.0
42010,114074,655,3.0
42011,115617,655,4.0
42012,115713,655,5.0
42013,116797,655,4.0
42014,116977,655,4.5
42015,122900,655,4.0
42016,122904,655,4.5
42017,134130,655,4.0
42018,134853,655,4.0
42019,139385,655,4.0
42020,142488,655,4.0
42021,148626,655,4.0
42022,152081,655,4.0
37255,2395,2448,4.0
37256,2795,2448,4.5
37257,2840,2448,3.5
37258,3087,2448,4.5
37259,3253,2448,4.5
37260,3360,2448,4.0
37261,3418,2448,4.0
37262,3527,2448,4.5
37263,3740,2448,5.0
37264,4041,2448,5.0
37265,5349,2448,4.0
37266,5481,2448,4.5
15890,45720,3426,3.0
15891,46530,3426,2.5
15892,47099,3426,3.5
15893,47200,3426,2.5
15894,48304,3426,2.5
15895,48516,3426,3.5
15896,48738,3426,4.0
15897,48780,3426,3.5
15898,50872,3426,3.0
15899,51662,3426,3.5
15900,52722,3426,3.0
15901,53121,3426,3.0
15902,53125,3426,3.5
15903,53972,3426,2.5
15904,54001,3426,4.0
15905,56587,3426,4.0
15906,56775,3426,2.5
15907,57640,3426,3.0
15908,58559,3426,4.0
15909,59315,3426,3.5
15910,60072,3426,3.5
15911,60074,3426,3.0
15912,60684,3426,4.0
15913,63113,3426,3.0
15914,63859,3426,3.0
15915,63992,3426,2.0
15916,64249,3426,2.5
15917,64969,3426,3.5
15918,67087,3426,3.0
15919,67255,3426,4.0
15920,68157,3426,3.5
15921,68237,3426,3.0
15922,68791,3426,3.0
15923,68954,3426,4.0
15924,69122,3426,3.5
15925,69406,3426,3.0
15926,72641,3426,2.5
15927,72998,3426,4.0
15928,73017,3426,3.5
15929,73321,3426,4.0
15930,74530,3426,3.0
15931,74789,3426,3.5
