item_id,user_id,rating
47,453034,3.0
110,453034,5.0
161,453034,4.0
260,453034,5.0
266,453034,4.0
293,453034,4.0
296,453034,5.0
318,453034,3.0
356,453034,4.0
368,453034,3.5
480,453034,3.0
527,453034,4.0
541,453034,5.0
593,453034,4.0
733,453034,4.0
778,453034,5.0
1079,453034,5.0
1080,453034,5.0
1097,453034,3.0
1196,453034,5.0
1198,453034,3.5
1201,453034,4.0
1210,453034,5.0
1213,453034,4.5
1220,453034,5.0
1240,453034,4.0
1246,453034,3.5
1252,453034,4.0
1266,453034,5.0
1270,453034,4.0
1291,453034,4.0
1356,453034,4.0
1372,453034,4.0
1387,453034,4.0
1587,453034,3.5
1597,453034,4.0
1641,453034,4.0
1704,453034,5.0
1968,453034,4.0
2028,453034,5.0
2194,453034,4.0
2273,453034,4.0
2278,453034,4.0
2353,453034,4.0
2788,453034,5.0
2791,453034,5.0
2803,453034,4.0
2921,453034,4.5
2947,453034,3.5
2991,453034,3.0
3252,453034,4.0
3253,453034,3.5
3256,453034,5.0
3421,453034,3.5
3552,453034,4.0
3578,453034,5.0
3702,453034,5.0
3704,453034,4.0
3994,453034,3.5
4022,453034,3.5
4370,453034,4.5
4776,453034,3.5
4855,453034,4.0
4963,453034,3.5
4973,453034,5.0
4975,453034,3.0
4995,453034,5.0
5064,453034,4.0
5152,453034,3.5
5299,453034,3.5
5349,453034,4.5
5418,453034,5.0
5541,453034,4.0
5574,453034,2.5
5903,453034,3.5
5956,453034,3.5
5989,453034,3.5
6156,453034,2.0
6333,453034,2.5
6711,453034,3.0
6874,453034,5.0
6934,453034,5.0
7143,453034,5.0
7153,453034,5.0
8368,453034,1.0
8529,453034,4.0
8665,453034,5.0
8961,453034,3.5
27660,453034,4.5
30707,453034,4.0
33162,453034,3.5
33493,453034,5.0
34048,453034,3.5
34405,453034,5.0
36529,453034,3.5
44191,453034,4.0
44665,453034,2.5
45186,453034,3.5
47099,453034,4.0
49272,453034,5.0
49530,453034,4.0
51255,453034,3.0
51662,453034,4.5
54286,453034,5.0
55820,453034,3.0
56174,453034,4.0
58559,453034,5.0
59315,453034,4.0
60069,453034,3.0
62374,453034,2.5
63113,453034,5.0
67255,453034,4.0
72641,453034,3.5
73017,453034,4.0
73321,453034,3.0
77561,453034,4.0
79132,453034,5.0
84954,453034,4.5
88744,453034,2.5
89840,453034,3.5
90746,453034,3.5
91529,453034,5.0
91535,453034,5.0
91630,453034,4.0
92259,453034,4.0
93838,453034,3.5
96079,453034,5.0
96610,453034,4.0
96861,453034,5.0
97304,453034,3.5
97923,453034,3.5
98124,453034,5.0
98809,453034,5.0
99112,453034,5.0
99114,453034,4.5
102903,453034,3.5
103339,453034,4.5
103810,453034,3.5
104841,453034,4.0
105504,453034,3.5
105844,453034,4.0
106100,453034,4.0
106489,453034,5.0
109487,453034,4.0
111759,453034,5.0
111781,453034,4.5
114662,453034,4.5
115617,453034,4.0
116797,453034,5.0
120635,453034,3.5
122900,453034,4.0
122904,453034,5.0
122920,453034,3.0
130490,453034,4.0
134130,453034,5.0
135141,453034,4.0
135143,453034,5.0
135569,453034,4.0
139385,453034,4.5
142488,453034,4.0
162350,453034,3.5
162600,453034,3.5
166528,453034,5.0
168252,453034,5.0
32,888918,4.5
47,888918,5.0
50,888918,4.0
110,888918,4.0
223,888918,5.0
260,888918,5.0
296,888918,5.0
318,888918,5.0
356,888918,4.0
480,888918,5.0
555,888918,5.0
590,888918,4.0
593,888918,5.0
608,888918,4.0
778,888918,5.0
968,888918,4.0
1060,888918,3.5
1198,888918,4.0
1208,888918,4.0
1210,888918,5.0
1222,888918,5.0
1240,888918,5.0
1258,888918,4.0
1270,888918,4.0
1274,888918,3.5
1342,888918,4.0
1378,888918,5.0
1387,888918,4.0
1721,888918,2.0
1968,888918,3.5
2028,888918,3.5
2126,888918,5.0
2145,888918,1.0
2402,888918,4.0
2517,888918,4.0
2542,888918,1.0
2716,888918,4.0
3005,888918,5.0
3210,888918,5.0
3578,888918,4.0
3686,888918,4.0
3740,888918,3.5
3793,888918,3.5
3836,888918,4.0
3949,888918,5.0
4492,888918,4.0
4878,888918,4.0
5146,888918,4.0
5418,888918,3.5
5478,888918,4.0
5669,888918,5.0
5989,888918,5.0
6294,888918,3.5
6377,888918,4.0
6378,888918,5.0
6539,888918,3.5
6615,888918,4.0
6874,888918,4.0
7247,888918,0.5
7360,888918,5.0
7846,888918,0.5
8464,888918,4.5
8665,888918,4.0
8985,888918,4.0
27831,888918,5.0
31685,888918,3.5
31878,888918,5.0
33834,888918,5.0
37380,888918,4.0
37384,888918,5.0
47200,888918,5.0
49272,888918,3.5
50445,888918,4.0
50851,888918,3.0
51255,888918,5.0
51662,888918,5.0
52644,888918,4.0
53519,888918,4.5
54286,888918,4.5
54995,888918,4.5
57274,888918,3.0
58297,888918,4.0
58559,888918,4.5
59306,888918,4.0
59315,888918,4.0
59784,888918,5.0
61248,888918,5.0
61323,888918,0.5
